                            marked as young vs marked as adult

                 Real Function Parameters of {phi(age+time)p(t/t)} - DM}
                                                               95% Confidence Interval
     Parameter                Estimate       Standard Error     Lower           Upper
 --------------------------  --------------  --------------  --------------  --------------
     1:Phi                    0.2103827       0.0822775       0.0916729       0.4129307       
     2:Phi                    0.2593466       0.1248829       0.0891837       0.5559913       
     3:Phi                    0.0939757       0.0482887       0.0330021       0.2396796       
     4:Phi                    0.1806899       0.0698479       0.0804361       0.3573408       
     5:Phi                    0.1823865       0.0822677       0.0703348       0.3967642       
     6:Phi                    0.2328873       0.0771354       0.1152358       0.4143971       
     7:Phi                    0.1716103       0.0658920       0.0770779       0.3394409       
     8:Phi                    0.1207834       0.0473888       0.0541836       0.2477974       
     9:Phi                    0.2545774       0.0629501       0.1512898       0.3955189       
    10:Phi                    0.2794889       0.0665216       0.1687575       0.4256706       
    11:Phi                    0.2528566       0.0762326       0.1330416       0.4273822       
    12:Phi                    0.1983190       0.0597339       0.1059088       0.3406411       
    13:Phi                    0.2460077       0.0679025       0.1373441       0.4007089       
    14:Phi                    0.1764726       0.0498571       0.0986041       0.2956641       
    15:Phi                    0.3095343       0.0747786       0.1842111       0.4709026       
    16:Phi                    0.1442638       0.0434806       0.0779419       0.2516198       
    17:Phi                    0.2191936       0.0747568       0.1065483       0.3978933       
    18:Phi                    0.1304439       0.0531389       0.0565050       0.2731264       
    19:Phi                    0.0895636       0.0333196       0.0422951       0.1797441       
    20:Phi                    0.1109391       0.0373469       0.0560759       0.2076696       
    21:Phi                    0.1400622       0.0803437       0.0422005       0.3758173       
    22:Phi                    0.0184352       0.0087959       0.0071917       0.0464346       
    23:Phi                    0.9287783       0.0595796       0.6905581       0.9870473       
    24:Phi                    0.7943599       0.1530281       0.3811393       0.9603624       
    25:Phi                    0.8914617       0.0857301       0.5912520       0.9790075       
    26:Phi                    0.8925616       0.0920100       0.5588736       0.9819742       
    27:Phi                    0.9187408       0.0629274       0.6842308       0.9833317       
    28:Phi                    0.8852569       0.0881558       0.5847143       0.9768922       
    29:Phi                    0.8364991       0.1133400       0.5020384       0.9629117       
    30:Phi                    0.9271081       0.0571503       0.7079705       0.9852353       
    31:Phi                    0.9352598       0.0499904       0.7412020       0.9864624       
    32:Phi                    0.9264916       0.0568942       0.7102583       0.9848034       
    33:Phi                    0.9020847       0.0719619       0.6510751       0.9784890       
    34:Phi                    0.9239608       0.0586100       0.7031510       0.9842105       
    35:Phi                    0.8886483       0.0837413       0.6030770       0.9766997       
    36:Phi                    0.9434886       0.0415532       0.7837437       0.9871651       
    37:Phi                    0.8626079       0.0985996       0.5514397       0.9697562       
    38:Phi                    0.9127009       0.0687483       0.6583452       0.9826763       
    39:Phi                    0.8481803       0.1079222       0.5194224       0.9665303       
    40:Phi                    0.7855765       0.1327367       0.4388011       0.9449536       
    41:Phi                    0.8229197       0.1207324       0.4781093       0.9593060       
    42:Phi                    0.8584732       0.1140226       0.4908118       0.9744712       
    43:Phi                    0.4115772       0.1955612       0.1256317       0.7729859       
    44:Phi                    0.8977876       0.0470110       0.7629240       0.9599588       
    45:Phi                    0.9202782       0.0471586       0.7660745       0.9760136       
    46:Phi                    0.7737257       0.0969124       0.5360649       0.9100650       
    47:Phi                    0.8790877       0.0505108       0.7412385       0.9485939       
    48:Phi                    0.8802962       0.0583519       0.7129749       0.9560854       
    49:Phi                    0.9091600       0.0359311       0.8101056       0.9591502       
    50:Phi                    0.8722769       0.0509116       0.7360562       0.9435830       
    51:Phi                    0.8191305       0.0608544       0.6693849       0.9101552       
    52:Phi                    0.9184262       0.0260507       0.8506400       0.9570031       
    53:Phi                    0.9274728       0.0230077       0.8673942       0.9615390       
    54:Phi                    0.9177428       0.0299312       0.8368468       0.9604251       
    55:Phi                    0.8907735       0.0342237       0.8036461       0.9420289       
    56:Phi                    0.9149384       0.0281413       0.8411435       0.9562363       
    57:Phi                    0.8759983       0.0365079       0.7852168       0.9317449       
    58:Phi                    0.9366244       0.0207161       0.8817567       0.9669854       
    59:Phi                    0.8475072       0.0423089       0.7452689       0.9134753       
    60:Phi                    0.9024834       0.0385419       0.7968569       0.9562066       
    61:Phi                    0.8318031       0.0613737       0.6767018       0.9211638       
    62:Phi                    0.7643225       0.0654810       0.6139720       0.8686428       
